Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.110,0.022,0.004,0.096,0.279,0.022,0.242,0.016,0.210,0.00,509
Client   1,0.031,0.109,0.073,0.229,0.017,0.221,0.00,0.011,0.170,0.140,358
Client   2,0.007,0.002,0.045,0.459,0.140,0.017,0.302,0.012,0.002,0.012,401
Client   3,0.097,0.040,0.164,0.004,0.142,0.004,0.473,0.00,0.062,0.013,226
Client   4,0.017,0.183,0.035,0.061,0.096,0.223,0.005,0.005,0.002,0.373,574
Client   5,0.080,0.152,0.193,0.008,0.00,0.005,0.216,0.003,0.160,0.183,388
Client   6,0.118,0.085,0.029,0.309,0.00,0.00,0.221,0.040,0.195,0.004,272
Client   7,0.045,0.030,0.189,0.062,0.246,0.098,0.091,0.237,0.00,0.00,528
Client   8,0.027,0.014,0.032,0.065,0.242,0.619,0.00,0.00,0.00,0.00,554
Client   9,0.135,0.113,0.193,0.00,0.003,0.079,0.280,0.011,0.013,0.174,379
Client  10,0.056,0.157,0.323,0.003,0.031,0.047,0.044,0.169,0.063,0.107,319
Client  11,0.034,0.012,0.00,0.233,0.00,0.009,0.134,0.214,0.050,0.314,322
Client  12,0.076,0.004,0.045,0.042,0.047,0.036,0.011,0.647,0.062,0.029,448
Client  13,0.001,0.159,0.206,0.634,0.00,0.00,0.00,0.00,0.00,0.00,710
Client  14,0.104,0.168,0.081,0.301,0.00,0.019,0.065,0.026,0.074,0.162,309
Client  15,0.051,0.095,0.301,0.004,0.548,0.00,0.00,0.00,0.00,0.00,744
Client  16,0.193,0.00,0.190,0.038,0.012,0.150,0.017,0.002,0.279,0.119,420
Client  17,0.006,0.439,0.127,0.007,0.00,0.002,0.256,0.002,0.055,0.107,544
Client  18,0.116,0.104,0.137,0.120,0.137,0.385,0.00,0.00,0.00,0.00,584
Client  19,0.060,0.013,0.040,0.013,0.073,0.013,0.147,0.073,0.500,0.067,150
Client  20,0.008,0.426,0.258,0.292,0.016,0.00,0.00,0.00,0.00,0.00,507
Client  21,0.00,0.057,0.172,0.003,0.003,0.208,0.065,0.276,0.133,0.083,384
Client  22,0.322,0.059,0.044,0.009,0.079,0.006,0.00,0.001,0.024,0.456,901
Client  23,0.269,0.007,0.057,0.215,0.126,0.155,0.171,0.00,0.00,0.00,595
Client  24,0.024,0.00,0.107,0.037,0.00,0.372,0.069,0.091,0.014,0.286,591
Client  25,0.022,0.096,0.083,0.045,0.101,0.00,0.043,0.037,0.115,0.460,785
Client  26,0.065,0.163,0.130,0.029,0.036,0.103,0.282,0.192,0.00,0.00,553
Client  27,0.018,0.018,0.190,0.251,0.007,0.018,0.023,0.341,0.023,0.113,443
Client  28,0.011,0.029,0.00,0.218,0.180,0.081,0.127,0.312,0.024,0.018,455
Client  29,0.236,0.057,0.063,0.00,0.00,0.185,0.459,0.00,0.00,0.00,508
Client  30,0.596,0.106,0.179,0.004,0.115,0.00,0.00,0.00,0.00,0.00,537
Client  31,0.179,0.031,0.015,0.379,0.108,0.010,0.221,0.021,0.031,0.005,195
Client  32,0.00,0.00,0.020,0.080,0.016,0.163,0.229,0.186,0.307,0.00,564
Client  33,0.036,0.121,0.212,0.019,0.048,0.002,0.026,0.002,0.019,0.514,420
Client  34,0.443,0.028,0.006,0.00,0.280,0.143,0.089,0.010,0.00,0.00,503
Client  35,0.082,0.064,0.243,0.045,0.034,0.215,0.317,0.00,0.00,0.00,596
Client  36,0.290,0.311,0.010,0.00,0.011,0.025,0.110,0.038,0.205,0.00,628
Client  37,0.045,0.00,0.403,0.126,0.00,0.087,0.00,0.067,0.045,0.228,404
Client  38,0.00,0.068,0.263,0.030,0.251,0.210,0.024,0.059,0.047,0.047,338
Client  39,0.171,0.178,0.652,0.00,0.00,0.00,0.00,0.00,0.00,0.00,563
Client  40,0.008,0.201,0.032,0.244,0.174,0.182,0.00,0.029,0.078,0.051,373
Client  41,0.003,0.010,0.001,0.028,0.108,0.072,0.018,0.269,0.490,0.00,676
Client  42,0.257,0.007,0.00,0.003,0.263,0.020,0.057,0.063,0.270,0.060,300
Client  43,0.047,0.406,0.043,0.074,0.004,0.00,0.021,0.375,0.031,0.00,515
Client  44,0.003,0.051,0.00,0.062,0.160,0.025,0.072,0.003,0.300,0.323,594
Client  45,0.131,0.004,0.033,0.127,0.678,0.025,0.00,0.00,0.00,0.00,510
Client  46,0.195,0.00,0.017,0.016,0.102,0.177,0.00,0.205,0.287,0.00,693
Client  47,0.067,0.201,0.011,0.087,0.145,0.071,0.417,0.00,0.00,0.00,551
Client  48,0.00,0.041,0.004,0.012,0.005,0.073,0.235,0.019,0.611,0.00,1220
Client  49,0.00,0.00,0.007,0.060,0.020,0.494,0.143,0.00,0.115,0.161,453
Client  50,0.042,0.295,0.067,0.100,0.047,0.070,0.070,0.195,0.016,0.098,430
Client  51,0.026,0.00,0.002,0.150,0.416,0.078,0.009,0.037,0.059,0.224,541
Client  52,0.00,0.009,0.040,0.080,0.102,0.252,0.341,0.009,0.004,0.164,226
Client  53,0.002,0.168,0.096,0.150,0.162,0.152,0.019,0.175,0.054,0.023,481
